POA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA4411,0,11,0,11,5,21,0,30,0,10,0,7,0,0,0,0,0,12,0,12,0,14,4,20,4,17,9,25,0,16,4,25,0,18,0,20,0,9,0,9,0,0,0,0,9,127,14,154,0,4,0,11,0,24,7,25,0,3,0,10,0,4,0,4,0,15,0,14,0,14,3,19,0,12,5,17,6,10,6,21,6,9,0,16,0,3,0,3,0,0,0,0,7,111,18,137,0,18,0,16,5,42,8,52,4,10,5,19,0,8,0,8,0,26,0,25,0,32,4,36,4,27,13,42,4,29,7,41,4,28,0,35,0,15,0,15,0,3,0,3,18,238,38,291
POA4412,0,0,0,4,0,8,8,16,0,0,0,3,0,3,0,3,0,14,0,15,0,13,4,18,0,18,3,19,0,11,0,13,0,10,3,16,0,0,0,6,0,0,0,0,5,87,27,112,0,8,0,8,0,4,11,20,0,0,0,5,0,4,0,9,0,15,0,11,0,9,5,13,3,14,7,20,0,9,0,10,0,6,0,6,0,4,0,3,0,0,0,0,4,73,22,99,0,11,0,10,0,14,15,36,0,3,3,8,3,11,0,18,0,25,3,28,0,15,7,26,3,29,3,39,0,23,0,23,0,18,3,22,0,9,4,6,0,6,0,6,11,160,43,211
POA4413,3,283,36,323,40,594,81,715,10,223,27,264,7,205,48,260,15,543,100,661,17,433,81,530,16,424,64,504,34,401,51,489,24,326,41,392,30,149,29,203,17,27,12,62,207,3616,580,4403,3,264,25,288,21,542,76,639,3,211,32,254,3,200,36,237,15,572,105,689,19,486,51,556,15,424,48,493,24,397,40,460,25,293,31,345,38,158,31,228,29,37,16,82,193,3582,489,4273,7,548,59,614,63,1137,157,1358,16,437,63,515,14,403,83,505,22,1118,208,1348,29,921,136,1092,33,848,112,994,57,798,95,951,47,618,69,735,66,309,60,429,44,65,29,140,402,7199,1073,8675
POA4415,0,47,11,61,11,115,15,146,0,58,21,76,0,49,4,55,4,114,12,128,0,84,17,98,3,120,21,140,14,108,19,140,7,98,20,130,14,46,13,71,9,6,7,23,64,838,152,1058,0,60,8,72,3,123,26,148,3,53,7,63,3,44,4,59,3,123,23,152,4,91,11,108,8,118,21,140,4,122,20,145,13,82,9,103,18,53,11,79,22,12,12,43,80,882,146,1109,0,108,18,123,12,236,36,291,5,108,26,137,3,93,16,115,8,238,31,281,6,172,26,207,11,237,39,281,23,229,42,289,28,172,33,230,28,100,21,149,23,21,18,64,142,1718,306,2166
POA4416,0,17,3,18,0,24,6,27,0,10,0,10,0,10,0,11,0,20,4,26,0,33,6,35,0,30,3,36,0,24,5,21,3,18,3,20,0,7,0,11,0,0,0,0,3,195,25,224,0,12,4,13,0,18,3,20,0,10,0,11,0,15,0,15,0,21,4,23,0,28,5,27,0,29,0,31,0,18,0,19,0,13,0,15,0,10,7,14,0,0,0,0,0,173,18,191,0,35,8,36,0,46,7,47,0,13,0,16,0,28,0,34,0,38,6,49,0,61,7,63,0,57,4,62,0,41,0,37,3,33,4,41,6,14,3,23,0,0,0,0,6,362,44,412
POA4417,0,26,6,28,0,59,7,62,0,6,0,6,0,6,0,6,0,37,4,37,0,36,0,39,0,35,4,45,3,51,10,61,5,35,0,44,3,17,0,23,3,0,0,4,17,315,26,361,0,21,0,21,4,47,3,59,0,9,0,8,0,12,0,13,0,44,9,52,0,49,4,49,4,38,3,42,3,30,4,41,5,29,0,32,4,14,0,23,4,3,0,6,19,292,26,340,0,47,3,53,3,106,11,123,0,16,0,20,0,18,0,18,0,76,10,91,0,76,3,83,7,72,6,84,8,84,6,101,9,62,6,80,6,33,3,45,10,9,0,9,36,607,54,699
POA4418,0,5,0,5,0,3,0,3,0,0,0,0,0,5,0,5,0,10,0,5,0,4,0,4,0,8,0,6,0,11,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,39,0,42,0,0,0,0,0,3,0,3,0,0,0,7,0,4,0,4,0,4,0,4,0,4,0,4,0,11,0,11,0,3,0,3,0,0,0,0,0,3,0,6,0,0,0,0,4,37,0,41,0,8,0,8,0,6,0,6,0,0,0,5,0,4,0,4,0,14,0,15,0,7,0,7,0,15,0,19,0,13,0,14,0,0,0,0,0,7,0,9,0,0,0,0,3,78,4,86
POA4419,0,35,3,35,0,48,8,58,0,14,0,15,0,18,12,30,0,89,45,142,0,48,27,76,0,47,13,61,8,55,9,68,4,39,9,50,6,23,4,34,5,0,0,3,26,425,125,579,0,58,0,58,3,42,6,46,0,15,0,17,0,21,5,31,0,81,26,106,0,41,6,49,0,47,9,52,0,58,10,58,6,40,6,50,5,22,3,33,0,4,0,7,13,419,78,508,0,90,4,101,5,89,14,108,0,30,5,37,0,41,16,59,6,172,71,248,3,93,35,126,0,96,21,116,11,107,20,128,9,78,11,95,12,48,12,66,5,4,0,12,37,844,198,1082
POA4420,0,33,6,42,6,67,10,78,0,16,4,24,0,23,0,32,0,69,6,73,0,73,3,74,0,67,12,76,3,69,11,82,9,60,3,70,15,31,8,47,3,4,0,14,32,510,73,614,0,34,0,40,0,81,6,94,0,26,6,32,0,34,3,35,4,70,9,79,0,62,0,68,0,74,5,81,0,54,3,62,0,51,5,53,13,28,12,49,11,8,0,21,30,527,54,605,0,76,4,80,6,151,17,172,0,43,12,56,0,57,7,64,3,136,12,149,0,129,9,142,0,141,15,157,5,124,13,145,9,110,11,123,29,59,17,98,14,15,0,33,63,1041,121,1219
POA4421,4,45,8,59,13,111,12,135,8,28,6,47,8,38,6,55,7,83,17,106,11,75,15,100,20,124,12,160,35,144,21,196,33,126,18,179,13,48,6,72,5,5,0,13,161,836,125,1118,3,46,11,56,8,116,16,141,4,41,6,49,3,49,6,53,3,86,15,108,3,89,14,101,18,105,20,138,22,134,17,177,26,117,15,152,18,38,8,64,9,7,0,18,121,813,118,1054,5,92,15,117,23,225,28,271,13,65,13,90,11,87,12,110,11,164,35,212,14,161,29,207,39,228,31,296,60,276,39,374,59,242,34,332,29,90,15,133,18,14,5,30,284,1646,245,2178
POA4422,0,10,0,8,0,27,5,31,0,11,5,12,0,10,0,11,3,12,4,10,0,22,3,30,0,37,0,43,0,32,9,44,4,27,3,33,7,9,0,16,0,0,0,0,14,194,40,246,0,4,0,7,0,24,3,28,0,12,3,11,0,3,3,7,0,18,0,21,0,18,4,20,0,39,5,42,0,19,3,24,5,29,3,34,3,4,0,9,0,0,0,0,8,166,28,208,0,16,0,19,0,51,8,59,0,19,8,21,0,16,7,20,3,29,4,36,0,43,4,48,0,73,10,87,0,50,10,68,11,54,7,64,9,14,3,23,0,0,0,0,18,364,69,447
POA4423,0,7,0,10,0,13,3,10,0,0,0,0,0,3,0,3,0,10,6,16,0,14,0,14,0,12,0,15,3,5,0,12,0,8,5,13,0,0,0,4,0,0,0,0,4,87,12,103,0,8,0,9,0,11,3,15,0,0,0,0,0,7,0,7,0,9,7,14,0,13,0,15,4,15,0,14,0,5,0,14,4,8,0,9,0,5,0,4,0,3,0,3,6,78,8,97,0,19,0,18,0,22,3,27,0,0,0,0,0,9,0,9,0,19,4,32,0,25,0,28,4,24,0,33,6,14,4,20,4,18,5,23,4,5,0,10,0,3,0,3,9,162,27,197
POA4424,0,9,0,10,3,25,0,25,0,7,0,7,0,3,0,3,0,5,0,9,0,22,0,21,0,14,0,14,0,12,0,14,0,15,3,18,0,4,0,5,0,0,0,0,6,110,12,123,0,6,0,6,0,18,3,19,0,5,0,5,0,3,0,4,0,10,0,11,0,18,0,19,0,14,0,14,0,10,0,10,0,8,0,13,0,8,0,8,0,0,0,0,3,99,10,111,0,16,0,20,0,41,3,47,0,13,0,13,0,6,0,6,0,18,0,22,0,36,7,40,0,27,0,27,0,19,0,21,0,19,3,26,0,15,0,12,0,0,0,0,6,206,16,235
POA4425,0,9,0,9,0,12,0,12,0,3,0,3,0,0,0,3,0,6,0,6,0,11,3,14,6,13,0,13,0,13,0,12,0,11,0,10,0,0,0,4,0,0,0,0,7,76,7,93,0,8,0,8,0,14,0,14,0,4,0,4,0,0,3,0,0,3,0,8,0,15,0,15,0,8,0,8,0,12,0,12,4,12,0,10,0,0,0,0,0,0,0,0,7,68,0,80,0,11,0,11,0,28,0,28,0,6,0,12,0,3,3,10,0,8,0,14,0,28,3,30,6,19,0,20,0,22,0,24,4,20,0,27,4,7,0,7,0,0,0,0,15,146,9,170
POA4426,0,0,0,0,0,0,0,0,0,5,3,9,0,3,3,4,0,5,0,6,0,7,0,10,0,9,0,10,0,9,3,10,0,11,0,12,0,6,0,6,0,0,0,5,5,56,12,77,0,0,0,0,0,3,0,8,0,5,0,10,0,3,5,7,0,4,0,5,0,9,3,8,0,5,0,6,0,6,0,11,0,8,0,8,4,3,0,5,0,3,0,3,4,45,15,63,0,8,0,8,0,12,0,7,0,6,5,15,0,5,8,13,0,8,0,12,0,14,3,16,0,12,0,17,0,15,7,20,0,15,0,19,4,10,0,15,3,3,0,8,10,102,29,146
POA4427,0,4,0,4,0,20,0,16,0,15,0,15,0,6,0,3,0,8,0,8,0,12,0,15,0,17,4,21,0,21,5,26,3,23,10,26,0,9,7,13,0,3,0,6,4,128,24,160,0,6,0,6,0,17,6,20,0,5,0,5,0,11,0,11,0,4,0,8,0,10,6,15,3,19,5,27,3,22,4,33,0,12,3,11,4,9,3,16,3,0,0,0,13,119,20,150,0,10,0,10,0,33,0,35,0,15,0,21,0,12,4,14,0,14,0,16,0,29,3,30,3,36,12,47,3,37,8,54,3,35,10,44,7,19,3,32,3,3,0,9,23,247,49,315
POA4428,0,25,0,25,0,42,0,46,0,23,0,23,0,11,0,11,0,38,9,47,0,35,0,31,0,40,3,46,3,39,10,48,3,27,0,35,3,18,0,27,3,0,0,3,15,302,20,342,0,17,4,20,0,32,0,39,0,6,0,10,0,6,0,9,0,32,0,37,0,37,3,34,0,38,3,35,6,36,7,45,3,21,5,32,3,17,0,19,0,0,0,4,12,244,28,281,0,44,4,49,3,77,0,77,0,32,0,33,0,20,0,20,0,69,12,82,0,67,4,67,0,77,6,85,8,77,13,96,5,49,7,66,7,35,3,42,5,4,0,8,31,544,49,627
POA4454,0,20,3,27,0,32,6,44,0,17,7,20,0,15,0,20,0,41,9,51,0,34,3,46,5,53,13,69,0,48,9,54,0,30,10,44,4,14,0,21,5,5,0,5,12,314,69,392,0,22,4,22,0,31,7,41,0,10,0,12,0,15,0,14,0,40,6,48,0,33,6,40,0,39,11,51,6,38,10,54,0,24,8,36,0,14,0,15,4,6,0,6,7,270,58,336,0,36,8,46,0,63,14,81,3,26,4,32,0,25,4,34,0,83,15,100,0,71,12,83,5,92,20,114,6,86,16,105,0,60,18,81,6,22,0,34,5,11,4,20,23,579,122,730
POA4455,3,279,22,304,28,553,67,649,11,216,33,258,8,263,38,311,4,467,69,546,5,456,66,534,9,448,72,536,13,452,62,527,34,284,40,359,20,123,16,158,11,30,8,45,144,3585,500,4227,0,251,23,275,10,559,78,644,9,221,34,263,5,262,31,300,0,538,52,592,9,524,64,599,21,494,61,574,20,452,43,516,21,265,26,308,27,146,40,206,25,37,44,102,144,3744,487,4377,4,530,53,585,37,1113,146,1299,20,440,62,518,11,525,68,610,8,1005,120,1139,19,980,133,1129,32,943,131,1109,36,907,108,1044,51,550,65,662,46,265,57,369,32,64,51,143,288,7326,990,8610
POA4461,0,3,0,3,0,3,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,0,3,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,4,0,4,0,11,0,11,0,13,0,13,0,6,0,6,0,0,0,0,0,36,0,38
POA4462,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,10,0,8,4,4,0,3,0,5,0,11,0,11,0,6,4,11,0,7,0,11,0,0,0,0,0,53,8,63,0,4,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0,5,0,7,0,9,0,9,0,4,4,10,0,5,0,6,5,6,0,10,0,4,0,5,0,0,0,3,8,49,12,65,0,4,0,6,0,6,3,13,0,6,0,6,0,5,0,5,0,15,4,15,0,11,3,14,0,8,0,13,0,18,0,16,5,12,7,21,0,12,3,15,0,0,0,3,5,101,19,128
POA4465,0,38,0,40,7,76,7,88,0,32,5,34,0,24,3,29,0,56,8,63,0,51,9,59,4,59,6,71,8,82,9,93,8,73,4,87,3,35,7,45,4,0,0,9,34,519,55,611,0,23,8,29,0,73,6,84,0,25,5,29,5,21,7,33,5,63,4,68,0,61,11,77,7,64,13,76,8,69,6,89,8,77,10,96,9,37,4,51,12,6,7,24,51,530,69,649,0,60,8,65,7,152,14,169,6,55,13,67,5,47,10,58,5,118,16,140,4,109,22,133,7,127,12,148,15,150,14,179,15,153,16,180,14,69,6,93,15,11,7,24,81,1051,125,1263
POA4467,0,4,0,5,0,3,0,3,0,6,0,6,0,3,0,6,0,5,4,8,0,9,0,9,0,12,0,18,0,11,6,11,3,3,0,6,0,3,0,11,0,0,0,0,5,67,13,86,0,4,0,3,0,9,3,10,0,3,0,3,0,3,0,5,0,3,0,4,0,5,0,5,0,15,0,15,0,11,4,12,4,7,0,3,0,0,4,0,0,0,0,0,9,55,13,73,0,5,5,4,0,10,3,15,0,10,0,10,0,6,4,7,0,13,3,15,0,19,0,19,0,34,0,35,0,20,12,27,8,12,0,11,5,3,4,12,0,0,0,0,9,123,21,157
POA4468,0,5,0,5,0,9,0,9,0,5,0,5,0,9,0,10,0,5,0,10,0,13,0,13,0,18,0,23,3,30,3,35,0,16,3,15,0,10,0,13,0,0,0,0,4,121,10,138,0,5,0,5,0,3,0,3,0,4,0,4,0,10,0,5,0,18,4,16,0,8,0,8,0,16,0,16,0,21,0,24,0,18,0,18,3,4,0,10,0,0,0,0,3,110,8,118,0,12,0,12,0,19,0,19,0,11,0,11,0,18,0,16,0,25,4,29,0,18,0,23,0,31,0,34,3,48,9,62,0,33,3,34,0,14,0,20,0,0,0,0,9,233,20,260
POA4470,0,73,11,86,14,142,22,180,4,75,11,91,0,64,11,78,8,179,33,217,6,108,22,136,3,134,29,160,11,206,40,265,12,157,23,198,11,38,12,71,18,9,11,37,97,1203,217,1520,0,82,11,96,7,168,23,199,0,58,7,66,0,75,13,93,3,201,32,238,6,162,17,187,11,165,32,209,17,220,45,273,10,136,16,159,18,67,3,89,32,19,8,58,100,1353,210,1666,0,162,21,181,21,315,50,375,8,132,21,157,4,140,29,169,8,377,67,454,15,274,36,323,14,299,59,368,31,426,80,533,26,296,35,354,32,110,13,157,54,31,20,97,197,2555,429,3184
POA4472,0,32,3,37,0,64,3,67,0,24,0,22,0,31,5,35,0,60,9,71,3,59,5,64,3,73,4,76,9,90,14,109,19,91,7,114,8,45,9,66,11,13,7,25,48,579,62,691,0,34,0,34,0,69,12,80,0,28,0,28,0,37,3,38,0,69,0,75,0,73,5,81,4,76,4,78,8,104,8,118,11,84,3,94,11,36,9,57,10,6,12,27,45,610,59,713,0,64,3,67,4,136,13,151,0,53,0,51,0,66,3,76,4,131,7,143,4,135,12,146,3,141,8,158,16,195,19,225,24,173,11,210,22,86,15,124,15,18,20,60,95,1192,114,1408
POA4474,0,3,0,3,0,0,0,3,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,5,0,5,0,15,0,15,0,5,0,5,6,6,0,4,0,0,0,0,6,36,0,39,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,4,0,4,0,6,0,4,0,6,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,30,0,34,0,10,0,9,0,0,0,3,0,4,0,4,0,3,0,3,0,14,0,14,0,3,0,3,0,6,0,9,0,18,0,18,0,4,0,9,6,7,0,5,0,0,0,0,3,65,3,72
POA4477,0,14,3,17,0,40,6,39,0,8,0,13,0,6,0,6,0,19,3,26,0,25,0,27,0,31,5,37,3,35,3,45,3,29,5,38,3,12,5,15,3,4,0,5,17,216,26,266,0,16,0,16,4,31,0,38,0,8,0,8,0,13,0,13,0,25,5,29,0,26,0,34,7,38,6,50,0,36,3,40,0,17,5,20,0,20,0,21,3,4,0,10,16,230,26,264,0,26,3,28,4,67,11,76,0,16,0,22,0,15,0,15,4,42,7,48,0,52,3,61,3,77,7,91,6,74,5,84,6,50,9,55,4,27,5,34,7,6,0,17,33,446,51,530
POA4478,0,20,0,20,4,25,0,31,0,13,0,13,0,12,0,16,0,21,4,28,0,19,0,23,0,30,0,31,0,32,0,31,3,28,3,31,3,19,0,25,0,0,0,0,16,219,23,254,0,19,0,19,0,27,0,26,0,12,0,12,0,12,0,11,0,23,6,31,0,28,0,28,0,29,4,26,0,36,3,40,0,32,3,32,3,11,0,10,0,0,0,0,10,216,19,248,0,33,0,37,0,48,0,59,0,26,0,28,0,27,4,30,0,51,4,58,0,50,0,47,0,52,4,60,6,63,12,75,3,56,7,67,5,25,0,35,0,4,0,3,24,435,45,500
POA4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
POA4480,0,20,0,20,0,45,6,50,0,7,0,10,0,17,0,17,0,33,3,31,0,31,5,31,0,43,4,46,5,48,4,52,0,29,3,31,5,11,0,17,4,0,0,6,17,277,22,312,0,26,0,25,0,28,7,33,0,11,0,9,0,4,0,10,0,50,4,58,0,32,6,32,3,39,8,48,4,47,0,51,0,22,0,29,3,7,0,5,3,0,0,8,15,273,21,308,0,42,5,47,0,72,9,82,0,19,0,17,5,23,0,30,0,80,5,92,0,63,4,66,4,82,10,95,6,97,5,104,0,50,5,58,4,16,0,23,3,4,0,13,30,552,44,625
POA4481,0,3,0,3,0,9,0,9,0,6,4,3,0,13,0,13,0,3,0,3,0,4,0,4,0,5,5,9,0,7,0,8,0,9,0,6,3,0,0,8,0,0,0,0,3,49,4,61,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,7,0,11,3,9,0,4,0,4,0,5,0,7,0,8,0,8,0,5,0,3,0,5,0,5,0,0,0,0,4,47,6,61,0,3,0,3,0,4,0,4,0,6,5,17,0,12,0,12,0,12,3,16,0,10,0,10,0,13,0,20,0,17,0,17,0,9,0,14,3,7,0,7,0,0,0,0,5,100,14,118
POA4482,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,6,0,8,0,10,5,9,0,8,3,12,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,42,10,57,0,0,0,0,0,0,0,7,0,6,0,6,0,5,0,5,0,10,4,16,0,6,0,8,0,12,0,12,0,3,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,48,8,56,0,4,0,4,0,6,0,12,0,5,0,5,0,7,0,7,0,21,3,20,0,14,4,16,0,18,3,18,0,5,4,7,0,11,0,15,0,0,0,0,0,0,0,0,0,91,20,110
POA4486,0,18,0,16,0,24,3,28,0,11,0,11,0,17,0,14,0,36,5,44,0,31,0,31,3,42,4,47,4,61,0,71,3,37,0,45,5,20,0,25,0,0,0,4,19,298,27,339,0,21,0,22,3,40,7,41,0,23,0,19,0,19,4,23,3,27,0,28,0,37,3,41,0,42,5,49,0,33,3,41,0,33,4,38,6,16,0,20,0,3,0,4,12,288,23,328,0,35,4,40,6,66,5,75,0,31,0,32,0,33,5,38,3,62,4,72,0,67,7,73,3,81,8,95,4,93,6,103,10,75,4,86,4,32,0,41,4,4,0,8,29,589,50,669
POA4487,0,85,22,106,22,196,17,225,7,101,10,117,0,79,9,98,0,163,29,201,0,130,10,144,3,188,19,219,3,191,21,218,13,125,11,153,14,54,8,74,5,13,13,30,73,1330,173,1578,0,101,14,113,0,192,20,212,0,78,7,90,0,89,9,102,6,195,29,229,6,164,18,187,3,190,17,209,13,179,16,205,15,122,8,141,16,56,9,79,12,11,7,25,68,1367,163,1598,0,185,38,221,21,380,37,440,8,181,20,202,3,168,24,196,3,367,59,429,4,289,32,334,8,379,35,425,17,370,44,428,30,244,18,294,31,108,16,153,15,27,17,58,140,2703,339,3179
POA4488,0,6,0,10,0,13,6,20,0,3,0,3,0,0,0,0,0,9,5,12,0,16,4,16,0,19,4,24,0,14,0,19,0,19,0,17,0,6,0,10,0,4,0,4,3,113,15,134,0,9,0,9,0,13,0,21,0,0,0,0,0,4,3,8,0,8,0,11,0,16,3,22,0,18,0,18,0,12,0,12,0,11,0,10,0,6,0,6,0,0,0,0,3,99,14,113,0,14,0,19,0,31,7,31,0,3,0,9,0,10,4,10,0,18,6,18,0,33,6,38,0,34,0,44,0,28,0,28,4,27,3,29,0,7,0,11,0,4,0,6,4,207,32,247
POA4489,0,4,0,4,0,7,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,0,6,0,3,0,6,0,11,0,9,0,9,0,4,0,4,0,0,0,0,4,40,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,0,4,0,7,0,11,0,4,0,4,0,0,0,0,0,0,0,0,0,28,0,35,0,3,0,3,0,12,0,11,0,3,0,3,0,0,0,0,0,6,0,6,0,4,0,8,0,8,0,11,0,20,0,23,0,6,0,6,0,4,0,4,0,0,0,0,6,74,0,78
POA4490,0,51,9,60,6,86,9,100,0,30,0,25,0,37,4,37,0,75,0,80,0,70,12,79,0,86,3,94,6,93,4,106,10,73,6,82,9,42,3,58,5,3,3,9,39,646,51,736,0,61,5,62,0,108,0,108,0,31,0,33,0,27,7,35,0,86,7,88,6,61,0,68,3,88,5,98,9,107,6,122,11,67,10,86,9,30,0,47,9,10,0,23,48,677,48,770,0,114,9,121,4,188,11,208,0,59,6,62,0,66,9,75,0,159,10,169,4,130,8,149,3,176,13,194,20,199,11,225,19,136,10,169,18,74,3,100,16,13,4,32,92,1320,94,1508
POA4491,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,4,0,4,0,6,0,6,0,7,0,6,4,9,0,13,0,3,0,3,0,0,0,0,4,47,0,51,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,4,0,4,0,12,0,12,4,4,0,7,0,0,0,0,0,0,0,0,3,38,0,41,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,15,0,15,0,7,0,7,0,11,0,10,0,18,0,16,4,17,0,23,0,4,0,4,0,0,0,0,5,84,4,94
